[2023-01-14 13:05:37] No settings files found: /home/toki/servers/mindustry/config/settings.bin and /home/toki/servers/mindustry/config/settings_backup.bin
[2023-01-14 14:52:13] Saving 2 values; 44 bytes
[2023-01-14 14:53:13] Saving 2 values; 44 bytes
[2023-01-14 14:54:13] Saving 2 values; 44 bytes
[2023-01-14 14:55:13] Saving 2 values; 44 bytes
[2023-01-14 14:56:13] Saving 2 values; 44 bytes
[2023-01-14 14:57:13] Saving 2 values; 44 bytes
[2023-01-14 14:58:13] Saving 2 values; 44 bytes
[2023-01-14 14:59:13] Saving 2 values; 44 bytes
[2023-01-14 15:00:13] Saving 2 values; 44 bytes
[2023-01-14 15:01:13] Saving 2 values; 44 bytes
[2023-01-14 15:02:13] Saving 2 values; 44 bytes
[2023-01-14 15:03:13] Saving 2 values; 44 bytes
[2023-01-14 15:04:13] Saving 2 values; 44 bytes
[2023-01-14 15:05:13] Saving 2 values; 44 bytes
[2023-01-14 15:06:13] Saving 2 values; 44 bytes
[2023-01-14 15:07:13] Saving 2 values; 44 bytes
[2023-01-14 15:08:13] Saving 2 values; 44 bytes
[2023-01-14 15:09:13] Saving 2 values; 44 bytes
[2023-01-14 15:10:13] Saving 2 values; 44 bytes
[2023-01-14 15:11:13] Saving 2 values; 44 bytes
[2023-01-14 15:12:13] Saving 2 values; 44 bytes
[2023-01-14 15:13:13] Saving 2 values; 44 bytes
[2023-01-14 15:14:13] Saving 2 values; 44 bytes
[2023-01-14 15:15:13] Saving 2 values; 44 bytes
[2023-01-14 15:16:13] Saving 2 values; 44 bytes
[2023-01-14 15:17:13] Saving 2 values; 44 bytes
[2023-01-14 15:18:13] Saving 2 values; 44 bytes
[2023-01-14 15:19:13] Saving 2 values; 44 bytes
[2023-01-14 15:20:13] Saving 2 values; 44 bytes
[2023-01-14 15:21:13] Saving 2 values; 44 bytes
[2023-01-14 15:22:13] Saving 2 values; 44 bytes
[2023-01-14 15:23:13] Saving 2 values; 44 bytes
[2023-01-14 15:24:13] Saving 2 values; 44 bytes
[2023-01-14 15:25:13] Saving 2 values; 44 bytes
[2023-01-14 15:26:13] Saving 2 values; 44 bytes
[2023-01-14 15:27:13] Saving 2 values; 44 bytes
[2023-01-14 15:28:13] Saving 2 values; 44 bytes
[2023-01-14 15:29:13] Saving 2 values; 44 bytes
[2023-01-14 15:30:13] Saving 2 values; 44 bytes
[2023-01-14 15:31:13] Saving 2 values; 44 bytes
[2023-01-14 15:32:13] Saving 2 values; 44 bytes
[2023-01-14 15:33:13] Saving 2 values; 44 bytes
[2023-01-14 15:34:13] Saving 2 values; 44 bytes
[2023-01-14 15:35:13] Saving 2 values; 44 bytes
[2023-01-14 15:36:13] Saving 2 values; 44 bytes
[2023-01-14 15:37:13] Saving 2 values; 44 bytes
[2023-01-14 15:38:13] Saving 2 values; 44 bytes
[2023-01-14 15:39:13] Saving 2 values; 44 bytes
[2023-01-14 15:40:13] Saving 2 values; 44 bytes
[2023-01-14 15:41:13] Saving 2 values; 44 bytes
[2023-01-14 15:42:13] Saving 2 values; 44 bytes
[2023-01-14 15:43:13] Saving 2 values; 44 bytes
[2023-01-14 15:44:13] Saving 2 values; 44 bytes
[2023-01-14 15:45:13] Saving 2 values; 44 bytes
[2023-01-14 15:46:13] Saving 2 values; 44 bytes
[2023-01-14 15:47:13] Saving 2 values; 44 bytes
[2023-01-14 15:48:13] Saving 2 values; 44 bytes
[2023-01-14 15:49:13] Saving 2 values; 44 bytes
[2023-01-14 15:50:13] Saving 2 values; 44 bytes
[2023-01-14 15:51:13] Saving 2 values; 44 bytes
[2023-01-14 15:52:13] Saving 2 values; 44 bytes
[2023-01-14 15:53:13] Saving 2 values; 44 bytes
[2023-01-14 15:54:13] Saving 2 values; 44 bytes
[2023-01-14 15:55:13] Saving 2 values; 44 bytes
[2023-01-14 15:56:13] Saving 2 values; 44 bytes
[2023-01-14 15:57:13] Saving 2 values; 44 bytes
[2023-01-14 15:58:13] Saving 2 values; 44 bytes
[2023-01-14 15:59:13] Saving 2 values; 44 bytes
[2023-01-14 16:00:13] Saving 2 values; 44 bytes
[2023-01-14 16:01:13] Saving 2 values; 44 bytes
[2023-01-14 16:02:13] Saving 2 values; 44 bytes
[2023-01-14 16:03:13] Saving 2 values; 44 bytes
[2023-01-14 16:04:13] Saving 2 values; 44 bytes
[2023-01-14 16:05:13] Saving 2 values; 44 bytes
[2023-01-14 16:06:13] Saving 2 values; 44 bytes
[2023-01-14 16:07:13] Saving 2 values; 44 bytes
[2023-01-14 16:08:13] Saving 2 values; 44 bytes
[2023-01-14 16:09:13] Saving 2 values; 44 bytes
[2023-01-14 16:10:13] Saving 2 values; 44 bytes
[2023-01-14 16:11:13] Saving 2 values; 44 bytes
[2023-01-14 16:12:13] Saving 2 values; 44 bytes
[2023-01-14 16:13:13] Saving 2 values; 44 bytes
[2023-01-14 16:14:13] Saving 2 values; 44 bytes
[2023-01-14 16:15:13] Saving 2 values; 44 bytes
[2023-01-14 16:16:13] Saving 2 values; 44 bytes
[2023-01-14 16:17:13] Saving 2 values; 44 bytes
[2023-01-14 16:18:13] Saving 2 values; 44 bytes
[2023-01-14 16:19:13] Saving 2 values; 44 bytes
[2023-01-14 16:20:13] Saving 2 values; 44 bytes
[2023-01-14 16:21:13] Saving 2 values; 44 bytes
[2023-01-14 16:22:13] Saving 2 values; 44 bytes
[2023-01-14 16:23:13] Saving 2 values; 44 bytes
[2023-01-14 16:24:13] Saving 2 values; 44 bytes
[2023-01-14 16:25:13] Saving 2 values; 44 bytes
[2023-01-14 16:26:13] Saving 2 values; 44 bytes
[2023-01-14 16:27:13] Saving 2 values; 44 bytes
[2023-01-14 16:28:13] Saving 2 values; 44 bytes
